BFSNR;NAME;DATUM;STIMMBERECHTIGTE;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN;BRIEF_EINGEL;BRIEF_UNGUELTIG;EVOTING_EINGEL;URNEN_EINGEL
4183;Zeihen;2020-09-27;787.0;497.0;4.0;...;493.0;261.0;232.0;519.0;3.0;...;10.0
4184;Mettauertal;2020-09-27;1452.0;855.0;10.0;1.0;844.0;433.0;411.0;864.0;8.0;...;16.0
4191;Ammerswil;2020-09-27;491.0;292.0;7.0;...;285.0;113.0;172.0;285.0;2.0;...;12.0
4192;Boniswil;2020-09-27;1050.0;669.0;7.0;...;662.0;304.0;358.0;660.0;2.0;...;18.0
4193;Brunegg;2020-09-27;534.0;270.0;1.0;...;269.0;132.0;137.0;261.0;1.0;...;10.0
4194;Dintikon;2020-09-27;1355.0;755.0;3.0;1.0;751.0;346.0;405.0;771.0;15.0;...;7.0
4195;Egliswil;2020-09-27;1060.0;644.0;6.0;...;638.0;281.0;357.0;629.0;7.0;...;25.0
4196;Fahrwangen;2020-09-27;1434.0;749.0;6.0;...;743.0;368.0;375.0;748.0;12.0;...;20.0
4197;Hallwil;2020-09-27;629.0;348.0;5.0;...;343.0;143.0;200.0;358.0;7.0;...;7.0
4198;Hendschiken;2020-09-27;865.0;433.0;8.0;...;425.0;216.0;209.0;448.0;18.0;...;5.0
4199;Holderbank (AG);2020-09-27;769.0;372.0;7.0;...;365.0;176.0;189.0;377.0;6.0;...;11.0
4200;Hunzenschwil;2020-09-27;2355.0;1137.0;15.0;...;1122.0;528.0;594.0;1108.0;3.0;...;44.0
4201;Lenzburg;2020-09-27;6555.0;3936.0;67.0;...;3869.0;1655.0;2214.0;3876.0;76.0;...;176.0
4202;Meisterschwanden;2020-09-27;2087.0;1302.0;19.0;...;1283.0;648.0;635.0;1286.0;11.0;...;32.0
4203;Möriken-Wildegg;2020-09-27;2891.0;1758.0;23.0;...;1735.0;820.0;915.0;1763.0;14.0;...;28.0
4204;Niederlenz;2020-09-27;2701.0;1445.0;25.0;...;1420.0;614.0;806.0;1444.0;35.0;...;45.0
4205;Othmarsingen;2020-09-27;1774.0;935.0;14.0;...;921.0;417.0;504.0;952.0;24.0;...;22.0
4206;Rupperswil;2020-09-27;3425.0;1849.0;25.0;...;1824.0;813.0;1011.0;1884.0;29.0;...;23.0
4207;Schafisheim;2020-09-27;1946.0;1191.0;21.0;...;1170.0;538.0;632.0;1195.0;16.0;...;21.0
4208;Seengen;2020-09-27;2978.0;1919.0;20.0;...;1899.0;941.0;958.0;1907.0;33.0;...;62.0
4209;Seon;2020-09-27;3176.0;1799.0;9.0;12.0;1778.0;830.0;948.0;1813.0;38.0;...;70.0
4210;Staufen;2020-09-27;2657.0;1668.0;28.0;...;1640.0;765.0;875.0;1686.0;25.0;...;26.0
4221;Abtwil;2020-09-27;632.0;352.0;3.0;...;349.0;192.0;157.0;349.0;4.0;...;15.0
4222;Aristau;2020-09-27;1010.0;603.0;7.0;1.0;595.0;324.0;271.0;600.0;11.0;...;21.0
4223;Auw;2020-09-27;1308.0;722.0;7.0;...;715.0;422.0;293.0;721.0;14.0;...;23.0
4224;Beinwil (Freiamt);2020-09-27;852.0;542.0;3.0;3.0;536.0;357.0;179.0;567.0;3.0;...;5.0
4226;Besenbüren;2020-09-27;444.0;291.0;4.0;1.0;286.0;132.0;154.0;292.0;2.0;...;5.0
4227;Bettwil;2020-09-27;472.0;311.0;3.0;...;308.0;182.0;126.0;305.0;...;...;9.0
4228;Boswil;2020-09-27;1845.0;965.0;14.0;...;951.0;564.0;387.0;979.0;31.0;...;28.0
4229;Bünzen;2020-09-27;751.0;485.0;3.0;...;482.0;244.0;238.0;473.0;5.0;...;21.0
4230;Buttwil;2020-09-27;871.0;540.0;8.0;...;532.0;243.0;289.0;528.0;9.0;...;27.0
4231;Dietwil;2020-09-27;881.0;530.0;9.0;...;521.0;304.0;217.0;529.0;5.0;...;13.0
4232;Geltwil;2020-09-27;153.0;98.0;1.0;...;97.0;52.0;45.0;94.0;...;...;4.0
4233;Kallern;2020-09-27;270.0;178.0;3.0;...;175.0;98.0;77.0;157.0;...;...;22.0
4234;Merenschwand;2020-09-27;2341.0;1409.0;22.0;...;1387.0;763.0;624.0;1403.0;10.0;...;43.0
4235;Mühlau;2020-09-27;800.0;496.0;7.0;...;489.0;267.0;222.0;501.0;5.0;...;7.0
4236;Muri (AG);2020-09-27;5238.0;2813.0;38.0;...;2775.0;1400.0;1375.0;2822.0;45.0;...;76.0
4237;Oberrüti;2020-09-27;1039.0;618.0;6.0;...;612.0;373.0;239.0;628.0;12.0;...;10.0
4238;Rottenschwil;2020-09-27;669.0;401.0;3.0;...;398.0;194.0;204.0;385.0;1.0;...;19.0
4239;Sins;2020-09-27;2746.0;1538.0;24.0;1.0;1513.0;945.0;568.0;1527.0;19.0;...;45.0
4240;Waltenschwil;2020-09-27;2068.0;1175.0;21.0;...;1154.0;607.0;547.0;1161.0;9.0;...;40.0
4251;Hellikon;2020-09-27;610.0;362.0;2.0;...;360.0;179.0;181.0;364.0;4.0;...;4.0
4252;Kaiseraugst;2020-09-27;3226.0;1632.0;18.0;...;1614.0;732.0;882.0;1662.0;16.0;...;54.0
4253;Magden;2020-09-27;2666.0;1640.0;25.0;1.0;1614.0;701.0;913.0;1654.0;33.0;...;31.0
4254;Möhlin;2020-09-27;6754.0;3329.0;69.0;...;3260.0;1506.0;1754.0;3333.0;60.0;...;87.0
4255;Mumpf;2020-09-27;883.0;450.0;9.0;...;441.0;219.0;222.0;454.0;7.0;...;7.0
4256;Obermumpf;2020-09-27;730.0;374.0;4.0;...;370.0;188.0;182.0;385.0;13.0;...;6.0
4257;Olsberg;2020-09-27;267.0;175.0;1.0;...;174.0;65.0;109.0;179.0;4.0;...;4.0
4258;Rheinfelden;2020-09-27;7609.0;4118.0;62.0;1.0;4055.0;1732.0;2323.0;4027.0;41.0;...;178.0
4259;Schupfart;2020-09-27;562.0;337.0;1.0;...;336.0;203.0;133.0;338.0;3.0;...;6.0
