BFSNR;NAME;DATUM;STIMMBERECHTIGTE;AUSL_SCHWEIZER;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN;BRIEF_EINGEL;BRIEF_UNGUELTIG;EVOTING_EINGEL;URNEN_EINGEL
4004;Densbüren;2018-09-23;559.0;...;198.0;2.0;...;196.0;52.0;144.0;192.0;1.0;...;9.0
4005;Erlinsbach (AG);2018-09-23;2856.0;...;1238.0;13.0;1.0;1224.0;240.0;984.0;1224.0;17.0;...;40.0
4006;Gränichen;2018-09-23;4996.0;...;1708.0;16.0;...;1692.0;421.0;1271.0;1732.0;25.0;...;31.0
4007;Hirschthal;2018-09-23;1135.0;...;395.0;2.0;...;393.0;79.0;314.0;388.0;4.0;...;11.0
4008;Küttigen;2018-09-23;4237.0;...;1835.0;21.0;...;1814.0;432.0;1382.0;1851.0;17.0;...;11.0
4009;Muhen;2018-09-23;2702.0;...;933.0;6.0;...;927.0;176.0;751.0;939.0;15.0;...;12.0
4010;Oberentfelden;2018-09-23;4794.0;...;1535.0;10.0;...;1525.0;300.0;1225.0;1509.0;20.0;...;57.0
4012;Suhr;2018-09-23;5545.0;...;1961.0;20.0;...;1941.0;515.0;1426.0;1987.0;29.0;...;16.0
4013;Unterentfelden;2018-09-23;2440.0;...;990.0;9.0;...;981.0;196.0;785.0;981.0;15.0;...;27.0
4021;Baden;2018-09-23;11742.0;...;4890.0;66.0;1.0;4823.0;1194.0;3629.0;4743.0;69.0;...;244.0
4022;Bellikon;2018-09-23;1161.0;...;475.0;5.0;...;470.0;92.0;378.0;457.0;1.0;...;23.0
4023;Bergdietikon;2018-09-23;1885.0;...;773.0;6.0;...;767.0;123.0;644.0;776.0;3.0;...;8.0
4024;Birmenstorf (AG);2018-09-23;1942.0;...;747.0;10.0;...;737.0;171.0;566.0;739.0;5.0;...;13.0
4026;Ennetbaden;2018-09-23;2202.0;...;1092.0;18.0;...;1074.0;285.0;789.0;1070.0;15.0;...;40.0
4027;Fislisbach;2018-09-23;3415.0;...;1159.0;9.0;2.0;1148.0;206.0;942.0;1170.0;20.0;...;15.0
4028;Freienwil;2018-09-23;713.0;...;298.0;3.0;...;295.0;92.0;203.0;273.0;1.0;...;28.0
4029;Gebenstorf;2018-09-23;3282.0;...;1199.0;13.0;...;1186.0;251.0;935.0;1189.0;11.0;...;30.0
4030;Killwangen;2018-09-23;1188.0;...;401.0;1.0;...;400.0;54.0;346.0;391.0;1.0;...;11.0
4031;Künten;2018-09-23;1192.0;...;393.0;3.0;...;390.0;71.0;319.0;394.0;7.0;...;8.0
4032;Mägenwil;2018-09-23;1303.0;...;422.0;2.0;...;420.0;70.0;350.0;420.0;6.0;...;11.0
4033;Mellingen;2018-09-23;3009.0;...;906.0;9.0;...;897.0;153.0;744.0;896.0;9.0;...;23.0
4034;Neuenhof;2018-09-23;3758.0;...;1034.0;9.0;...;1025.0;223.0;802.0;1039.0;18.0;...;20.0
4035;Niederrohrdorf;2018-09-23;2672.0;...;1013.0;9.0;...;1004.0;200.0;804.0;992.0;9.0;...;40.0
4037;Oberrohrdorf;2018-09-23;2816.0;...;1286.0;15.0;...;1271.0;205.0;1066.0;1267.0;12.0;...;52.0
4038;Obersiggenthal;2018-09-23;4814.0;...;2126.0;33.0;6.0;2087.0;403.0;1684.0;2038.0;10.0;...;116.0
4039;Remetschwil;2018-09-23;1417.0;...;542.0;2.0;...;540.0;95.0;445.0;530.0;4.0;...;16.0
4040;Spreitenbach;2018-09-23;4651.0;...;1061.0;11.0;...;1050.0;255.0;795.0;1053.0;2.0;...;21.0
4041;Stetten (AG);2018-09-23;1353.0;...;417.0;1.0;...;416.0;81.0;335.0;415.0;1.0;...;6.0
4042;Turgi;2018-09-23;1543.0;...;465.0;9.0;...;456.0;146.0;310.0;470.0;18.0;...;21.0
4044;Untersiggenthal;2018-09-23;4213.0;...;1603.0;26.0;...;1577.0;355.0;1222.0;1551.0;16.0;...;73.0
4045;Wettingen;2018-09-23;12538.0;...;4856.0;53.0;...;4803.0;1116.0;3687.0;4805.0;49.0;...;140.0
4046;Wohlenschwil;2018-09-23;1026.0;...;360.0;7.0;...;353.0;89.0;264.0;344.0;4.0;...;21.0
4047;Würenlingen;2018-09-23;2804.0;...;1001.0;9.0;...;992.0;145.0;847.0;966.0;9.0;...;46.0
4048;Würenlos;2018-09-23;4219.0;...;1646.0;12.0;...;1634.0;250.0;1384.0;1613.0;23.0;...;63.0
4049;Ehrendingen;2018-09-23;3180.0;...;1136.0;10.0;...;1126.0;233.0;893.0;1106.0;9.0;...;52.0
4061;Arni (AG);2018-09-23;1283.0;...;532.0;3.0;...;529.0;93.0;436.0;518.0;1.0;...;16.0
4062;Berikon;2018-09-23;3153.0;...;1243.0;8.0;...;1235.0;257.0;978.0;1244.0;12.0;...;23.0
4063;Bremgarten (AG);2018-09-23;5100.0;...;1646.0;20.0;...;1626.0;375.0;1251.0;1628.0;25.0;...;60.0
4064;Büttikon;2018-09-23;657.0;...;228.0;2.0;...;226.0;49.0;177.0;226.0;1.0;...;5.0
4065;Dottikon;2018-09-23;2022.0;...;641.0;9.0;...;632.0;120.0;512.0;625.0;27.0;...;46.0
4066;Eggenwil;2018-09-23;684.0;...;286.0;2.0;...;284.0;67.0;217.0;282.0;3.0;...;8.0
4067;Fischbach-Göslikon;2018-09-23;1085.0;...;364.0;5.0;...;359.0;66.0;293.0;362.0;1.0;...;6.0
