BFSNR;NAME;DATUM;STIMMBERECHTIGTE;BRIEF_EINGEL;BRIEF_UNGUELTIG;EVOTING_EINGEL;URNEN_EINGEL;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN
4183;Zeihen;2023-06-18;811.0;336.0;1.0;0.0;8.0;335.0;13.0;0.0;322.0;133.0;189.0
4184;Mettauertal;2023-06-18;1445.0;664.0;14.0;0.0;10.0;645.0;26.0;0.0;619.0;252.0;367.0
4185;Böztal;2023-06-18;1880.0;705.0;13.0;0.0;33.0;708.0;20.0;0.0;688.0;275.0;413.0
4186;Herznach-Ueken;2023-06-18;1736.0;744.0;11.0;0.0;17.0;726.0;21.0;0.0;705.0;350.0;355.0
4191;Ammerswil;2023-06-18;513.0;227.0;4.0;0.0;1.0;222.0;8.0;0.0;214.0;87.0;127.0
4192;Boniswil;2023-06-18;1171.0;554.0;3.0;0.0;14.0;551.0;20.0;0.0;531.0;231.0;300.0
4193;Brunegg;2023-06-18;527.0;168.0;1.0;0.0;12.0;170.0;3.0;0.0;167.0;56.0;111.0
4194;Dintikon;2023-06-18;1383.0;575.0;2.0;0.0;9.0;560.0;11.0;0.0;549.0;203.0;346.0
4195;Egliswil;2023-06-18;1119.0;456.0;8.0;0.0;10.0;447.0;19.0;0.0;428.0;168.0;260.0
4196;Fahrwangen;2023-06-18;1459.0;509.0;8.0;0.0;15.0;494.0;14.0;0.0;480.0;188.0;292.0
4197;Hallwil;2023-06-18;659.0;254.0;3.0;0.0;34.0;278.0;6.0;0.0;272.0;100.0;172.0
4198;Hendschiken;2023-06-18;852.0;335.0;3.0;0.0;7.0;330.0;10.0;0.0;320.0;153.0;167.0
4199;Holderbank (AG);2023-06-18;818.0;280.0;3.0;0.0;3.0;271.0;6.0;0.0;265.0;97.0;168.0
4200;Hunzenschwil;2023-06-18;2386.0;736.0;9.0;0.0;13.0;717.0;23.0;0.0;694.0;273.0;421.0
4201;Lenzburg;2023-06-18;6553.0;2837.0;64.0;0.0;106.0;2782.0;102.0;0.0;2680.0;1543.0;1137.0
4202;Meisterschwanden;2023-06-18;2302.0;962.0;9.0;0.0;14.0;921.0;25.0;0.0;896.0;410.0;486.0
4203;Möriken-Wildegg;2023-06-18;2986.0;1323.0;8.0;0.0;26.0;1299.0;48.0;1.0;1250.0;575.0;675.0
4204;Niederlenz;2023-06-18;2675.0;1053.0;8.0;0.0;18.0;1028.0;35.0;0.0;993.0;550.0;443.0
4205;Othmarsingen;2023-06-18;1797.0;628.0;10.0;0.0;22.0;621.0;23.0;0.0;598.0;274.0;324.0
4206;Rupperswil;2023-06-18;3572.0;1337.0;15.0;0.0;21.0;1308.0;38.0;0.0;1270.0;561.0;709.0
4207;Schafisheim;2023-06-18;1964.0;824.0;17.0;0.0;20.0;797.0;24.0;1.0;772.0;322.0;450.0
4208;Seengen;2023-06-18;3153.0;1744.0;29.0;0.0;42.0;1668.0;54.0;0.0;1614.0;663.0;951.0
4209;Seon;2023-06-18;3294.0;1244.0;23.0;0.0;27.0;1205.0;34.0;1.0;1170.0;546.0;624.0
4210;Staufen;2023-06-18;2686.0;1197.0;6.0;0.0;21.0;1170.0;42.0;0.0;1128.0;618.0;510.0
4221;Abtwil;2023-06-18;694.0;248.0;3.0;0.0;11.0;242.0;7.0;0.0;235.0;101.0;134.0
4222;Aristau;2023-06-18;1035.0;374.0;4.0;0.0;10.0;369.0;22.0;0.0;347.0;139.0;208.0
4223;Auw;2023-06-18;1367.0;497.0;11.0;0.0;13.0;473.0;11.0;0.0;462.0;180.0;282.0
4224;Beinwil (Freiamt);2023-06-18;860.0;406.0;6.0;0.0;0.0;372.0;17.0;0.0;355.0;131.0;224.0
4226;Besenbüren;2023-06-18;460.0;190.0;0.0;0.0;8.0;190.0;5.0;0.0;185.0;82.0;103.0
4227;Bettwil;2023-06-18;489.0;226.0;0.0;0.0;1.0;217.0;5.0;0.0;212.0;91.0;121.0
4228;Boswil;2023-06-18;1970.0;731.0;16.0;0.0;17.0;693.0;23.0;0.0;670.0;241.0;429.0
4229;Bünzen;2023-06-18;790.0;350.0;3.0;0.0;6.0;332.0;10.0;0.0;322.0;126.0;196.0
4230;Buttwil;2023-06-18;906.0;468.0;12.0;0.0;15.0;432.0;20.0;0.0;412.0;194.0;218.0
4231;Dietwil;2023-06-18;910.0;344.0;4.0;0.0;7.0;336.0;10.0;0.0;326.0;136.0;190.0
4232;Geltwil;2023-06-18;159.0;65.0;1.0;0.0;2.0;63.0;0.0;0.0;63.0;25.0;38.0
4233;Kallern;2023-06-18;272.0;121.0;1.0;0.0;10.0;122.0;5.0;0.0;117.0;49.0;68.0
4234;Merenschwand;2023-06-18;2361.0;998.0;13.0;0.0;14.0;944.0;25.0;0.0;919.0;393.0;526.0
